1000 Most Common Italian Words
==================================================

  1. il                   [article] - the
938. capitolo             [noun] - chapter
939. popolo               [noun] - people
940. effettuare           [verb] - to make
941. immediato            [adjective] - immediate
942. ulteriore            [adjective] - further
943. lezione              [noun] - lesson
944. furto                [noun] - theft
945. meritare             [verb] - to deserve
946. brutto               [adjective] - ugly
947. preparare            [verb] - to prepare
948. dipendere            [verb] - to depend
949. minimo               [adjective] - least
950. firmare              [verb] - to sign
951. strano               [adjective] - strange
952. interesse            [noun] - interest
953. peggio               [noun] - the worst part
954. nessun               [determiner] - no, none
955. neve                 [noun] - snow
956. qualcuno             [pronoun] - someone
957. netto                [adjective] - net
958. felice               [adjective] - happy
959. miracolo             [noun] - miracle
960. democrazia           [noun] - democracy
961. ribasso              [noun] - depreciation
962. progresso            [noun] - progress
963. turismo              [noun] - tourism
964. rientrare            [verb] - return, go/come back
965. magistrato           [noun] - magistrate
966. contento             [adjective] - pleased
967. chilometro           [noun] - kilometer
968. guida                [noun] - guide
969. terreno              [noun] - ground
970. sereno               [adjective] - serene
971. reale                [adjective] - real
972. agenzia              [noun] - agency
973. contenuto            [noun] - content
974. guardia              [noun] - guard
975. passaggio            [noun] - passage
976. familiare            [noun] - relative
977. complesso            [adjective] - complex
978. memoria              [noun] - memory
979. offrire              [verb] - to offer
980. corte                [noun] - court
981. attaccante           [noun] - striker
982. prestazione          [noun] - performance
983. traccia              [noun] - trace
984. ospite               [noun] - guest
985. freddo               [adjective] - cold
986. dimissione           [noun] - discharge
987. moglie               [noun] - wife
988. affare               [noun] - business, matter
989. quadro               [noun] - painting, picture
990. interessare          [verb] - to interest
991. dialogo              [noun] - dialogue
992. gli                  [pronoun] - him, them
993. approvare            [verb] - to approve
994. articolo             [noun] - article
995. ritrovare            [verb] - to find
996. estate               [noun] - summer
997. stazione             [noun] - station
998. attore               [noun] - actor
999. promozione           [noun] - promotion
1000. palla                [noun] - ball
1001. cliente              [noun] - customer
1002. fratello             [noun] - brother
1003. normale              [adjective] - normal
1004. test                 [noun] - test
1005. sanità               [noun] - healthcare
1006. parco                [noun] - park
1007. popolazione          [noun] - population
1008. dividere             [verb] - to divide
1009. cinese               [adjective] - Chinese
1010. angolo               [noun] - angle
1011. porto                [noun] - port
1012. segnalare            [verb] - signal, point out
1013. presentazione        [noun] - presentation
1014. straniero            [adjective] - foreign
1015. mistero              [noun] - mystery
1016. Firenze              [proper noun] - Florence
1017. concorso             [noun] - competitive exam, contest
1018. russo                [adjective] - Russian
1019. vuoto                [adjective] - empty
1020. genere               [noun] - genre, gender
1021. giungere             [verb] - to come
1022. ascoltare            [verb] - to listen
1023. nord                 [noun] - north
1024. aspetto              [noun] - look
1025. gestione             [noun] - management
1026. pezzo                [noun] - piece
1027. contatto             [noun] - contact
1028. destino              [noun] - destiny
1029. autore               [noun] - author
1030. incontrare           [verb] - to encounter, to meet
1031. dedicare             [verb] - to dedicate
1032. decreto              [noun] - decree
1033. attuale              [adjective] - current
1034. regia                [noun] - direction
1035. web                  [noun] - web
1036. pensione             [noun] - pension
1037. scudetto             [noun] - championship
1038. associazione         [noun] - association
1039. riferimento          [noun] - reference
1040. stasera              [adverb] - this evening
1041. portiere             [noun] - doorman
1042. palazzo              [noun] - building
1043. gesto                [noun] - gesture
1044. successivo           [adjective] - following
1045. escludere            [verb] - to exclude
1046. aiutare              [verb] - to help
1047. amministrazione      [noun] - administration
1048. critico              [adjective] - critical
1049. tappa                [noun] - stage
1050. smentire             [verb] - to deny
1051. pensiero             [noun] - thought
1052. concreto             [adjective] - concrete
1053. mantenere            [verb] - to keep
1054. organizzare          [verb] - to organize
1055. prospettiva          [noun] - perspective
1056. ripartire            [verb] - to leave again, recover
1057. pilota               [noun] - pilot
1058. ammontare            [verb] - amount to
1059. superiore            [adjective] - superior
1060. comunicazione        [noun] - communication
1061. sequestrare          [verb] - to confiscate, to seize
1062. salvezza             [noun] - salvation
1063. neppure              [adverb] - either, not even
1064. tassa                [noun] - tax
1065. anziano              [noun] - an elderly
1066. scenario             [noun] - scenario, scenery
1067. democratico          [adjective] - democratic
1068. quartiere            [noun] - district
1069. né                   [conjunction] - neither...nor
1070. economia             [noun] - economy
1071. ricco                [adjective] - rich
1072. fiscale              [adjective] - financial
1073. vincente             [adjective] - winning
1074. centrocampo          [noun] - midfield
1075. risorsa              [noun] - resource
1076. cadere               [verb] - to fall
1077. utilizzare           [verb] - to use
1078. compagno             [noun] - companion
1079. provinciale          [adjective] - provincial
1080. moda                 [noun] - fashion
1081. scambio              [noun] - exchange
1082. verde                [adjective] - green
1083. Brasile              [proper noun] - Brazil
1084. canzone              [noun] - song
1085. rosa                 [noun] - rose
1086. Mario                [proper noun] - Mario
1087. accertamento         [noun] - verification
1088. quinto               [adjective] - fifth
1089. mamma                [noun] - mom
1090. signore              [noun] - mister, sir
1091. chiarire             [verb] - to clarify
1092. cielo                [noun] - sky
1093. classico             [adjective] - classic
1094. incendio             [noun] - fire
1095. parlamentare         [adjective] - parliamentary
1096. diretto              [adjective] - direct
1097. intorno              [adverb] - around
1098. evitare              [verb] - to avoid
1099. industriale          [adjective] - industrial
1100. amare                [verb] - to love
1101. definire             [verb] - to define
1102. dentro               [adverb] - inside
1103. consumatore          [noun] - consumer
1104. legale               [adjective] - legal, lawful
1105. flessione            [noun] - push-up, curve
1106. intero               [adjective] - entire
1107. decina               [noun] - dozens
1108. muro                 [noun] - wall
1109. stella               [noun] - a star
1110. vendere              [verb] - to sell
1111. convegno             [noun] - meeting
1112. rispettare           [verb] - to respect
